iter	Passed	Remaining
406	5425	5238
407	5439	5225
408	5452	5212
409	5466	5199
410	5477	5184
411	5488	5168
412	5499	5153
413	5513	5140
414	5526	5127
415	5537	5111
416	5549	5097
417	5560	5081
418	5572	5067
419	5583	5051
420	5596	5037
421	5608	5023
422	5620	5009
423	5631	4994
424	5643	4979
425	5653	4963
426	5666	4949
427	5678	4935
428	5689	4920
429	5699	4904
430	5711	4889
431	5724	4876
432	5735	4861
433	5748	4847
434	5759	4832
435	5772	4818
436	5784	4804
437	5797	4791
438	5809	4777
439	5820	4761
440	5831	4746
441	5842	4732
442	5853	4717
443	5864	4702
444	5877	4688
445	5889	4674
446	5901	4660
447	5912	4645
448	5925	4632
449	5937	4617
450	5950	4604
451	5963	4591
452	5976	4578
453	5990	4565
454	6004	4552
455	6017	4539
456	6029	4525
457	6043	4512
458	6056	4499
459	6068	4485
460	6094	4481
461	6106	4467
462	6117	4452
463	6128	4437
464	6139	4423
465	6151	4408
466	6162	4394
467	6175	4381
468	6188	4367
469	6200	4353
470	6210	4338
471	6223	4324
472	6236	4311
473	6247	4297
474	6260	4283
475	6273	4270
476	6286	4257
477	6297	4242
478	6309	4228
479	6320	4213
480	6332	4199
481	6342	4184
482	6354	4170
483	6366	4156
484	6379	4143
485	6391	4129
486	6403	4115
487	6416	4102
488	6427	4087
489	6442	4075
490	6453	4061
491	6464	4047
492	6475	4032
493	6486	4018
494	6499	4004
495	6512	3991
496	6524	3977
497	6537	3964
498	6550	3951
499	6563	3937
500	6576	3924
501	6586	3909
502	6597	3895
503	6610	3882
504	6622	3868
505	6634	3854
506	6646	3840
507	6656	3826
508	6669	3813
509	6681	3799
510	6692	3785
511	6706	3772
512	6718	3758
513	6730	3745
514	6742	3731
515	6754	3717
516	6765	3703
517	6777	3689
518	6790	3676
519	6801	3662
520	6813	3648
521	6825	3635
522	6839	3622
523	6850	3608
524	6862	3594
525	6874	3581
526	6887	3567
527	6898	3553
528	6910	3540
529	6924	3527
530	6934	3513
531	6947	3499
532	6960	3486
533	6972	3473
534	6986	3460
535	6998	3447
536	7009	3433
537	7023	3420
538	7036	3407
539	7048	3393
540	7059	3379
541	7070	3365
542	7082	3352
543	7092	3337
544	7105	3324
545	7117	3311
546	7128	3297
547	7141	3283
548	7152	3269
549	7164	3256
550	7176	3242
551	7187	3229
552	7200	3215
553	7211	3202
554	7223	3188
555	7236	3175
556	7250	3162
557	7261	3149
558	7274	3136
559	7287	3123
560	7300	3109
561	7311	3096
562	7324	3083
563	7337	3070
564	7351	3057
565	7362	3043
566	7375	3030
567	7387	3017
568	7401	3004
569	7414	2991
570	7427	2978
571	7438	2965
572	7450	2951
573	7463	2938
574	7476	2925
575	7489	2912
576	7502	2899
577	7514	2886
578	7526	2872
579	7539	2859
580	7550	2846
581	7563	2832
582	7574	2819
583	7587	2806
584	7599	2793
585	7611	2779
586	7623	2766
587	7636	2753
588	7648	2739
589	7659	2726
590	7672	2713
591	7684	2699
592	7697	2686
593	7710	2674
594	7724	2661
595	7736	2647
596	7746	2634
597	7759	2620
598	7771	2607
599	7783	2594
600	7793	2580
601	7805	2567
602	7819	2554
603	7830	2541
604	7844	2528
605	7858	2515
606	7870	2502
607	7883	2489
608	7895	2476
609	7908	2463
610	7920	2449
611	7931	2436
612	7943	2423
613	7955	2410
614	7966	2396
615	7979	2383
616	7991	2370
617	8004	2357
618	8017	2344
619	8028	2330
620	8039	2317
621	8052	2304
622	8064	2291
623	8075	2277
624	8087	2264
625	8099	2251
626	8113	2238
627	8125	2225
628	8137	2212
629	8148	2198
630	8159	2185
631	8211	2182
632	8228	2170
633	8240	2157
634	8252	2144
635	8265	2131
636	8275	2117
637	8288	2104
638	8299	2091
639	8312	2078
640	8323	2064
641	8334	2051
642	8346	2037
643	8358	2024
644	8372	2011
645	8383	1998
646	8397	1985
647	8409	1972
648	8422	1959
649	8434	1946
650	8448	1933
651	8459	1920
652	8472	1907
653	8484	1894
654	8497	1881
655	8509	1867
656	8523	1855
657	8536	1842
658	8546	1828
659	8559	1815
660	8569	1802
661	8580	1788
662	8591	1775
663	8603	1762
664	8614	1748
665	8627	1735
666	8639	1722
667	8650	1709
668	8662	1696
669	8676	1683
670	8688	1670
671	8701	1657
672	8713	1644
673	8726	1631
674	8738	1618
675	8750	1605
676	8763	1592
677	8773	1578
678	8786	1565
679	8798	1552
680	8810	1539
681	8822	1526
682	8833	1513
683	8844	1499
684	8855	1486
685	8866	1473
686	8877	1460
687	8889	1447
688	8900	1433
689	8911	1420
690	8923	1407
691	8934	1394
692	8947	1381
693	8959	1368
694	8971	1355
695	8984	1342
696	8996	1329
697	9013	1317
698	9028	1304
699	9041	1291
700	9054	1278
701	9066	1265
702	9077	1252
703	9090	1239
704	9101	1226
705	9112	1213
706	9124	1200
707	9136	1187
708	9149	1174
709	9163	1161
710	9173	1148
711	9186	1135
712	9199	1122
713	9211	1109
714	9221	1096
715	9233	1083
716	9246	1070
717	9257	1057
718	9269	1044
719	9283	1031
720	9294	1018
721	9306	1005
722	9320	992
723	9331	979
724	9342	966
725	9354	953
726	9365	940
727	9378	927
728	9391	914
729	9403	901
730	9415	888
731	9428	875
732	9440	862
733	9451	849
734	9461	836
735	9473	823
736	9485	810
737	9497	797
738	9509	784
739	9523	772
740	9536	759
741	9549	746
742	9560	733
743	9572	720
744	9583	707
745	9596	694
746	9607	681
747	9620	668
748	9632	655
749	9645	643
750	9659	630
751	9670	617
752	9682	604
753	9695	591
754	9708	578
755	9719	565
756	9731	552
757	9745	539
758	9757	527
759	9769	514
760	9780	501
761	9791	488
762	9804	475
763	9815	462
764	9827	449
765	9838	436
766	9853	423
767	9867	411
768	9879	398
769	9896	385
770	9910	372
771	9925	359
772	9939	347
773	9954	334
774	9969	321
775	9984	308
776	9998	295
777	10014	283
778	10029	270
779	10042	257
780	10056	244
781	10069	231
782	10083	218
783	10099	206
784	10113	193
785	10126	180
786	10140	167
787	10155	154
788	10168	141
789	10182	128
790	10198	116
791	10211	103
792	10225	90
793	10238	77
794	10250	64
795	10265	51
796	10280	38
797	10299	25
798	10314	12
799	10330	0
