iter	RMSE
0	0.1390000638
1	0.1333243294
2	0.1279574676
3	0.1228185354
4	0.1181393466
5	0.1136534743
6	0.1093899292
7	0.105386996
8	0.1015718232
9	0.09788985624
10	0.09443987878
11	0.09121648147
12	0.08817698599
13	0.08537683167
14	0.08271004019
15	0.08016578608
16	0.07785734205
17	0.07565564175
18	0.07356666524
19	0.07163048981
20	0.06973227365
21	0.0679678547
22	0.06629368199
23	0.06475938448
24	0.0633097594
25	0.06192239896
26	0.06063743682
27	0.05946997851
28	0.05841469423
29	0.05739980506
30	0.05639464371
31	0.05548963525
32	0.0547136655
33	0.05387843687
34	0.05310759225
35	0.05232008009
36	0.05159840334
37	0.05099269914
38	0.05035336504
39	0.04982612527
40	0.04927849915
41	0.04879634186
42	0.0482541607
43	0.04778306479
44	0.0473960372
45	0.04699989439
46	0.04659553492
47	0.04629543031
48	0.04596482521
49	0.04568270982
50	0.04535896553
51	0.04502613545
52	0.04474942604
53	0.0444381948
54	0.04423082122
55	0.04398917479
56	0.04375423972
57	0.04347300755
58	0.04320069549
59	0.0429995109
60	0.04278290238
61	0.04259566804
62	0.04237294708
63	0.04215815664
64	0.0419365504
65	0.04175839151
66	0.04159054027
67	0.04144816686
68	0.04130745063
69	0.04115988667
70	0.04100675214
71	0.04090747857
72	0.04078031546
73	0.04067303151
74	0.04054353082
75	0.04040651058
76	0.0402543304
77	0.04014449573
78	0.04003173021
79	0.03993625512
80	0.03984933425
81	0.0396753888
82	0.03960620005
83	0.03952009666
84	0.03944799115
85	0.03935533057
86	0.03929528038
87	0.03918684465
88	0.03910427732
89	0.03904311218
90	0.038939128
91	0.03887146718
92	0.03882180134
93	0.03874335792
94	0.03864087875
95	0.03856703714
96	0.03852037507
97	0.03845723672
98	0.03840555186
99	0.0383053779
100	0.0381604279
101	0.03810456166
102	0.03803698419
103	0.03796059893
104	0.03790850297
105	0.03784037212
106	0.03780653187
107	0.0377433501
108	0.0376571318
109	0.03759009472
110	0.03751233598
111	0.03745546469
112	0.03739995357
113	0.03736569359
114	0.03732988639
115	0.03729055137
116	0.03722332149
117	0.03717907363
118	0.03712221811
119	0.03707124648
120	0.03698701204
121	0.03694805725
122	0.0369132611
123	0.03688329641
124	0.03680755217
125	0.03674787078
126	0.03668839348
127	0.03662675608
128	0.03658867766
129	0.03655118508
130	0.03648875434
131	0.03644651044
132	0.03640582096
133	0.03635324693
134	0.03632780644
135	0.03628277071
136	0.03624982545
137	0.03618580886
138	0.03614113853
139	0.0360752349
140	0.03604269533
141	0.03599997851
142	0.03596067603
143	0.03592231975
144	0.03588746567
145	0.03584010894
146	0.03581419232
147	0.03577795584
148	0.03573182042
149	0.03570227902
150	0.03567224575
151	0.03564991555
152	0.03559875707
153	0.03556820629
154	0.03553986938
155	0.03549649205
156	0.03544963845
157	0.03543453851
158	0.03540253342
159	0.03535150393
160	0.03532011279
161	0.03529567097
162	0.03526587448
163	0.0352409522
164	0.03522422481
165	0.0352141279
166	0.03515809634
167	0.03513448047
168	0.03508706518
169	0.0350614963
170	0.03502649239
171	0.03498845966
172	0.03495812881
173	0.03493762107
174	0.03491624477
175	0.03488091116
176	0.03486419345
177	0.03483994742
178	0.0348101275
179	0.03478891836
180	0.03477500049
181	0.03475792284
182	0.03474511169
183	0.03471133914
184	0.03465912471
185	0.0346320132
186	0.03460548769
187	0.03458779251
188	0.03457126191
189	0.03452275858
190	0.03449158481
191	0.03444612534
192	0.03441597954
193	0.03439320332
194	0.03436061907
195	0.03434670226
196	0.03430307861
197	0.03426555661
198	0.03424635296
199	0.03420576451
200	0.03417918514
201	0.03414194492
202	0.03412429201
203	0.03410747524
204	0.03407289819
205	0.03405415109
206	0.03402319388
207	0.03398333793
208	0.03396968213
209	0.03394049931
210	0.03391331217
211	0.03389510011
212	0.03387021631
213	0.03383458416
214	0.03381544916
215	0.03379189194
216	0.03377099087
217	0.03371688028
218	0.03368165801
219	0.03365451393
220	0.03362393643
221	0.03359429858
222	0.03357773568
223	0.03354924639
224	0.03350763342
225	0.03347919875
226	0.03345029557
227	0.03343125388
228	0.03338015927
229	0.03336131746
230	0.03334360325
231	0.03329355451
232	0.03327373885
233	0.03322960168
234	0.03320736539
235	0.03319392074
236	0.03315991199
237	0.033132108
238	0.03311802179
239	0.03310412977
240	0.03308371876
241	0.03306956795
242	0.03304884963
243	0.0330170101
244	0.03300377069
245	0.03299011657
246	0.03296621337
247	0.03292366971
248	0.03290739952
249	0.03289301224
250	0.03285401176
251	0.03283869304
252	0.03282001149
253	0.03280228032
254	0.03277920851
255	0.0327665805
256	0.03274346001
257	0.03272563428
258	0.03270281326
259	0.03268468258
260	0.03266279719
261	0.03263426331
262	0.03262033944
263	0.03260349934
264	0.03258598576
265	0.03256507906
266	0.03254622113
267	0.03253258804
268	0.03250433874
269	0.03248441085
270	0.03246047285
271	0.03243846061
272	0.03242355555
273	0.03239716406
274	0.0323850238
275	0.03236922226
276	0.03235531866
277	0.03232182218
278	0.03230419891
279	0.03227570609
280	0.03225628431
281	0.03224217371
282	0.03222208078
283	0.03220298047
284	0.03218029302
285	0.03216077718
286	0.03212899248
287	0.03210347398
288	0.03208725382
289	0.03206367842
290	0.03204853501
291	0.0320315049
292	0.03201228472
293	0.03199744693
294	0.03198790034
295	0.03197110391
296	0.0319562245
297	0.03194038307
298	0.03191003042
299	0.03189320266
300	0.03187901537
301	0.03185690961
302	0.03183975335
303	0.03182471689
304	0.03180968632
305	0.03178822682
306	0.03176872149
307	0.03175464068
308	0.03174160319
309	0.03173060924
310	0.03171768872
311	0.03171122282
312	0.03169751583
313	0.03167847205
314	0.03165114175
315	0.03163445856
316	0.03162189687
317	0.03161132127
318	0.03159297598
319	0.03157816147
320	0.03156691759
321	0.03155055889
322	0.0315355905
323	0.03152607925
324	0.0315160463
325	0.03149330104
326	0.03148584925
327	0.03145465148
328	0.03144256402
329	0.0314331382
330	0.03141736925
331	0.03140968196
332	0.03139674854
333	0.03138332548
334	0.03136304524
335	0.03135446447
336	0.03134444901
337	0.03133045279
338	0.03132126357
339	0.03130253318
340	0.0312869542
341	0.03126801479
342	0.03125093514
343	0.03123866769
344	0.03122450044
345	0.03121025348
346	0.03119975641
347	0.03118610181
348	0.03117012231
349	0.03115554084
350	0.03114015993
351	0.03112391381
352	0.03110734806
353	0.03109457068
354	0.03108244049
355	0.03106693688
356	0.0310550263
357	0.03104493463
358	0.03103428948
359	0.03102539288
360	0.03101241881
361	0.03099190185
362	0.03097741126
363	0.0309572551
364	0.03092760491
365	0.03091484776
366	0.03089628128
367	0.03088083369
368	0.030869921
369	0.03085679563
370	0.0308456065
371	0.0308289902
372	0.03081471074
373	0.03080440604
